"Date Time        ","0.56v docked first row then 0.76v undocked Adjusted vBatt"
2024-03-22 02:15:01,12.339
2024-03-22 02:15:07,11.682
2024-03-22 02:15:13,11.725
2024-03-22 02:15:19,11.725
2024-03-22 02:15:25,11.605
2024-03-22 02:15:31,11.716
2024-03-22 02:15:37,11.716
2024-03-22 02:15:43,11.69
2024-03-22 02:15:49,11.708
2024-03-22 02:15:55,11.699
2024-03-22 02:16:01,11.682
2024-03-22 02:16:07,11.682
2024-03-22 02:16:13,11.682
2024-03-22 02:16:19,11.682
2024-03-22 02:16:25,11.69
2024-03-22 02:16:31,11.69
2024-03-22 02:16:37,11.699
2024-03-22 02:16:43,11.648
2024-03-22 02:16:49,11.631
2024-03-22 02:16:55,11.613
2024-03-22 02:17:01,11.605
2024-03-22 02:17:07,11.656
2024-03-22 02:17:13,11.639
2024-03-22 02:17:19,11.613
2024-03-22 02:17:25,11.656
2024-03-22 02:17:31,11.648
2024-03-22 02:17:37,11.605
2024-03-22 02:17:43,11.588
2024-03-22 02:17:49,11.579
2024-03-22 02:17:55,11.562
2024-03-22 02:18:01,11.656
2024-03-22 02:18:07,11.648
2024-03-22 02:18:13,11.631
2024-03-22 02:18:19,11.639
2024-03-22 02:18:25,11.648
2024-03-22 02:18:31,11.485
2024-03-22 02:18:37,11.639
2024-03-22 02:18:43,11.639
2024-03-22 02:18:49,11.579
2024-03-22 02:18:55,11.579
2024-03-22 02:19:01,11.579
2024-03-22 02:19:07,11.639
2024-03-22 02:19:13,11.596
2024-03-22 02:19:19,11.639
2024-03-22 02:19:25,11.631
2024-03-22 02:19:31,11.639
2024-03-22 02:19:37,11.631
2024-03-22 02:19:43,11.622
2024-03-22 02:19:49,11.613
2024-03-22 02:19:55,11.648
2024-03-22 02:20:01,11.502
2024-03-22 02:20:07,11.631
2024-03-22 02:20:13,11.631
2024-03-22 02:20:19,11.613
2024-03-22 02:20:25,11.613
2024-03-22 02:20:31,11.639
2024-03-22 02:20:37,11.613
2024-03-22 02:20:43,11.588
2024-03-22 02:20:49,11.613
2024-03-22 02:20:55,11.613
2024-03-22 02:21:01,11.596
2024-03-22 02:21:07,11.622
2024-03-22 02:21:13,11.613
2024-03-22 02:21:19,11.588
2024-03-22 02:21:25,11.605
2024-03-22 02:21:31,11.528
2024-03-22 02:21:37,11.605
2024-03-22 02:21:43,11.596
2024-03-22 02:21:49,11.596
2024-03-22 02:21:55,11.613
2024-03-22 02:22:01,11.596
2024-03-22 02:22:07,11.596
2024-03-22 02:22:13,11.605
2024-03-22 02:22:19,11.605
2024-03-22 02:22:25,11.605
2024-03-22 02:22:31,11.588
2024-03-22 02:22:37,11.579
2024-03-22 02:22:43,11.579
2024-03-22 02:22:49,11.579
2024-03-22 02:22:55,11.596
2024-03-22 02:23:01,11.442
2024-03-22 02:23:07,11.545
2024-03-22 02:23:13,11.579
2024-03-22 02:23:19,11.579
2024-03-22 02:23:25,11.562
2024-03-22 02:23:31,11.579
2024-03-22 02:23:37,11.571
2024-03-22 02:23:43,11.562
2024-03-22 02:23:49,11.571
2024-03-22 02:23:55,11.519
2024-03-22 02:24:01,11.571
2024-03-22 02:24:07,11.553
2024-03-22 02:24:13,11.553
2024-03-22 02:24:19,11.588
2024-03-22 02:24:25,11.528
2024-03-22 02:24:31,11.451
2024-03-22 02:24:37,11.545
2024-03-22 02:24:43,11.528
2024-03-22 02:24:49,11.553
2024-03-22 02:24:55,11.553
2024-03-22 02:25:01,11.468
2024-03-22 02:25:07,11.493
2024-03-22 02:25:13,11.528
2024-03-22 02:25:19,11.536
2024-03-22 02:25:25,11.536
2024-03-22 02:25:31,11.511
2024-03-22 02:25:37,11.528
2024-03-22 02:25:43,11.536
2024-03-22 02:25:49,11.519
2024-03-22 02:25:55,11.536
2024-03-22 02:26:01,11.468
2024-03-22 02:26:07,11.536
2024-03-22 02:26:13,11.536
2024-03-22 02:26:19,11.519
2024-03-22 02:26:25,11.519
2024-03-22 02:26:31,11.536
2024-03-22 02:26:37,11.519
2024-03-22 02:26:43,11.519
2024-03-22 02:26:49,11.502
2024-03-22 02:26:55,11.493
2024-03-22 02:27:01,11.536
2024-03-22 02:27:07,11.528
2024-03-22 02:27:13,11.528
2024-03-22 02:27:19,11.511
2024-03-22 02:27:25,11.493
2024-03-22 02:27:31,11.442
2024-03-22 02:27:37,11.528
2024-03-22 02:27:43,11.511
2024-03-22 02:27:49,11.528
2024-03-22 02:27:55,11.511
2024-03-22 02:28:01,11.502
2024-03-22 02:28:07,11.528
2024-03-22 02:28:13,11.511
2024-03-22 02:28:19,11.511
2024-03-22 02:28:25,11.519
2024-03-22 02:28:31,11.519
2024-03-22 02:28:37,11.502
2024-03-22 02:28:43,11.502
2024-03-22 02:28:49,11.511
2024-03-22 02:28:55,11.502
2024-03-22 02:29:01,11.425
2024-03-22 02:29:07,11.485
2024-03-22 02:29:13,11.502
2024-03-22 02:29:19,11.493
2024-03-22 02:29:25,11.485
2024-03-22 02:29:31,11.502
2024-03-22 02:29:37,11.493
2024-03-22 02:29:43,11.476
2024-03-22 02:29:49,11.493
2024-03-22 02:29:55,11.493
2024-03-22 02:30:01,11.468
2024-03-22 02:30:07,11.485
2024-03-22 02:30:14,11.511
2024-03-22 02:30:20,11.468
2024-03-22 02:30:26,11.485
2024-03-22 02:30:32,11.442
2024-03-22 02:30:38,11.451
2024-03-22 02:30:44,11.442
2024-03-22 02:30:50,11.459
2024-03-22 02:30:56,11.485
2024-03-22 02:31:02,11.476
2024-03-22 02:31:08,11.468
2024-03-22 02:31:14,11.493
2024-03-22 02:31:20,11.468
2024-03-22 02:31:26,11.442
2024-03-22 02:31:32,11.459
2024-03-22 02:31:38,11.468
2024-03-22 02:31:44,11.459
2024-03-22 02:31:50,11.468
2024-03-22 02:31:56,11.451
2024-03-22 02:32:02,11.391
2024-03-22 02:32:08,11.433
2024-03-22 02:32:14,11.459
2024-03-22 02:32:20,11.442
2024-03-22 02:32:26,11.468
2024-03-22 02:32:32,11.433
2024-03-22 02:32:38,11.459
2024-03-22 02:32:44,11.459
2024-03-22 02:32:50,11.451
2024-03-22 02:32:56,11.459
2024-03-22 02:33:02,11.433
2024-03-22 02:33:08,11.459
2024-03-22 02:33:14,11.459
2024-03-22 02:33:20,11.451
2024-03-22 02:33:26,11.485
2024-03-22 02:33:32,11.348
2024-03-22 02:33:38,11.451
2024-03-22 02:33:44,11.425
2024-03-22 02:33:50,11.442
2024-03-22 02:33:56,11.442
2024-03-22 02:34:02,11.476
2024-03-22 02:34:08,11.459
2024-03-22 02:34:14,11.433
2024-03-22 02:34:20,11.459
2024-03-22 02:34:26,11.433
2024-03-22 02:34:32,11.451
2024-03-22 02:34:38,11.425
2024-03-22 02:34:44,11.451
2024-03-22 02:34:50,11.459
2024-03-22 02:34:56,11.451
2024-03-22 02:35:02,11.365
2024-03-22 02:35:08,11.468
2024-03-22 02:35:14,11.442
2024-03-22 02:35:20,11.442
2024-03-22 02:35:26,11.442
2024-03-22 02:35:32,11.425
2024-03-22 02:35:38,11.433
2024-03-22 02:35:44,11.408
2024-03-22 02:35:50,11.442
2024-03-22 02:35:56,11.425
2024-03-22 02:36:02,11.451
2024-03-22 02:36:08,11.408
2024-03-22 02:36:14,11.433
2024-03-22 02:36:20,11.442
2024-03-22 02:36:26,11.408
2024-03-22 02:36:32,11.416
2024-03-22 02:36:38,11.425
2024-03-22 02:36:44,11.416
2024-03-22 02:36:50,11.399
2024-03-22 02:36:56,11.399
2024-03-22 02:37:02,11.391
2024-03-22 02:37:08,11.416
2024-03-22 02:37:14,11.416
2024-03-22 02:37:20,11.399
2024-03-22 02:37:26,11.425
2024-03-22 02:37:32,11.399
2024-03-22 02:37:38,11.399
2024-03-22 02:37:44,11.382
2024-03-22 02:37:50,11.408
2024-03-22 02:37:56,11.416
2024-03-22 02:38:02,11.408
2024-03-22 02:38:08,11.391
2024-03-22 02:38:14,11.365
2024-03-22 02:38:20,11.416
2024-03-22 02:38:26,11.365
2024-03-22 02:38:32,11.399
2024-03-22 02:38:38,11.391
2024-03-22 02:38:44,11.374
2024-03-22 02:38:50,11.399
2024-03-22 02:38:56,11.382
2024-03-22 02:39:02,11.374
2024-03-22 02:39:08,11.382
2024-03-22 02:39:14,11.382
2024-03-22 02:39:20,11.391
2024-03-22 02:39:26,11.365
2024-03-22 02:39:32,11.382
2024-03-22 02:39:38,11.279
2024-03-22 02:39:44,11.382
2024-03-22 02:39:51,11.365
2024-03-22 02:39:57,11.374
2024-03-22 02:40:03,11.391
2024-03-22 02:40:09,11.339
2024-03-22 02:40:15,11.382
2024-03-22 02:40:21,11.348
2024-03-22 02:40:27,11.391
2024-03-22 02:40:33,11.382
2024-03-22 02:40:39,11.382
2024-03-22 02:40:45,11.391
2024-03-22 02:40:51,11.391
2024-03-22 02:40:57,11.399
2024-03-22 02:41:03,11.356
2024-03-22 02:41:09,11.399
2024-03-22 02:41:15,11.374
2024-03-22 02:41:21,11.374
2024-03-22 02:41:27,11.382
2024-03-22 02:41:33,11.374
2024-03-22 02:41:39,11.365
2024-03-22 02:41:45,11.391
2024-03-22 02:41:51,11.374
2024-03-22 02:41:57,11.382
2024-03-22 02:42:03,11.331
2024-03-22 02:42:09,11.374
2024-03-22 02:42:15,11.365
2024-03-22 02:42:21,11.356
2024-03-22 02:42:27,11.348
2024-03-22 02:42:33,11.356
2024-03-22 02:42:39,11.245
2024-03-22 02:42:45,11.322
2024-03-22 02:42:51,11.365
2024-03-22 02:42:57,11.339
2024-03-22 02:43:03,11.339
2024-03-22 02:43:09,11.356
2024-03-22 02:43:15,11.322
2024-03-22 02:43:21,11.322
2024-03-22 02:43:27,11.356
2024-03-22 02:43:33,11.279
2024-03-22 02:43:39,11.356
2024-03-22 02:43:45,11.331
2024-03-22 02:43:51,11.356
2024-03-22 02:43:57,11.339
2024-03-22 02:44:03,11.279
2024-03-22 02:44:09,11.236
2024-03-22 02:44:15,11.305
2024-03-22 02:44:21,11.314
2024-03-22 02:44:27,11.305
2024-03-22 02:44:33,11.271
2024-03-22 02:44:39,11.314
2024-03-22 02:44:45,11.296
2024-03-22 02:44:51,11.296
2024-03-22 02:44:57,11.305
2024-03-22 02:45:03,11.296
2024-03-22 02:45:09,11.322
2024-03-22 02:45:15,11.305
2024-03-22 02:45:21,11.296
2024-03-22 02:45:27,11.305
2024-03-22 02:45:33,11.305
2024-03-22 02:45:39,11.185
2024-03-22 02:45:45,11.296
2024-03-22 02:45:51,11.288
2024-03-22 02:45:57,11.305
2024-03-22 02:46:03,11.279
2024-03-22 02:46:09,11.305
2024-03-22 02:46:15,11.279
2024-03-22 02:46:21,11.288
2024-03-22 02:46:27,11.296
2024-03-22 02:46:33,11.296
2024-03-22 02:46:39,11.314
2024-03-22 02:46:45,11.296
2024-03-22 02:46:51,11.296
2024-03-22 02:46:57,11.288
2024-03-22 02:47:03,11.288
2024-03-22 02:47:09,11.176
2024-03-22 02:47:15,11.279
2024-03-22 02:47:21,11.296
2024-03-22 02:47:27,11.279
2024-03-22 02:47:33,11.305
2024-03-22 02:47:39,11.262
2024-03-22 02:47:45,11.288
2024-03-22 02:47:51,11.288
2024-03-22 02:47:57,11.262
2024-03-22 02:48:03,11.271
2024-03-22 02:48:09,11.279
2024-03-22 02:48:15,11.262
2024-03-22 02:48:21,11.262
2024-03-22 02:48:27,11.271
2024-03-22 02:48:33,11.279
2024-03-22 02:48:39,11.185
2024-03-22 02:48:45,11.262
2024-03-22 02:48:51,11.262
2024-03-22 02:48:57,11.254
2024-03-22 02:49:03,11.262
2024-03-22 02:49:09,11.254
2024-03-22 02:49:15,11.262
2024-03-22 02:49:21,11.279
2024-03-22 02:49:27,11.236
2024-03-22 02:49:33,11.271
2024-03-22 02:49:39,11.254
2024-03-22 02:49:45,11.211
2024-03-22 02:49:51,11.254
2024-03-22 02:49:57,11.254
2024-03-22 02:50:03,11.219
2024-03-22 02:50:10,11.108
2024-03-22 02:50:16,11.228
2024-03-22 02:50:22,11.211
2024-03-22 02:50:28,11.228
2024-03-22 02:50:34,11.228
2024-03-22 02:50:40,11.168
2024-03-22 02:50:46,11.219
2024-03-22 02:50:52,11.228
2024-03-22 02:50:58,11.219
2024-03-22 02:51:04,11.176
2024-03-22 02:51:10,11.228
2024-03-22 02:51:16,11.202
2024-03-22 02:51:22,11.236
2024-03-22 02:51:28,11.219
2024-03-22 02:51:34,11.194
2024-03-22 02:51:40,11.134
2024-03-22 02:51:46,11.219
2024-03-22 02:51:52,11.194
2024-03-22 02:51:58,11.219
2024-03-22 02:52:04,11.211
2024-03-22 02:52:10,11.219
2024-03-22 02:52:16,11.202
2024-03-22 02:52:22,11.236
2024-03-22 02:52:28,11.219
2024-03-22 02:52:34,11.219
2024-03-22 02:52:40,11.211
2024-03-22 02:52:46,11.219
2024-03-22 02:52:52,11.219
2024-03-22 02:52:58,11.228
2024-03-22 02:53:04,11.228
2024-03-22 02:53:10,11.125
2024-03-22 02:53:16,11.211
2024-03-22 02:53:22,11.202
2024-03-22 02:53:28,11.202
2024-03-22 02:53:34,11.202
2024-03-22 02:53:40,11.202
2024-03-22 02:53:46,11.194
2024-03-22 02:53:52,11.185
2024-03-22 02:53:58,11.185
2024-03-22 02:54:04,11.211
2024-03-22 02:54:10,11.176
2024-03-22 02:54:16,11.211
2024-03-22 02:54:22,11.211
2024-03-22 02:54:28,11.176
2024-03-22 02:54:34,11.176
2024-03-22 02:54:40,11.082
2024-03-22 02:54:46,11.194
2024-03-22 02:54:52,11.194
2024-03-22 02:54:58,11.185
2024-03-22 02:55:04,11.168
2024-03-22 02:55:10,11.194
2024-03-22 02:55:16,11.185
2024-03-22 02:55:22,11.168
2024-03-22 02:55:28,11.185
2024-03-22 02:55:34,11.185
2024-03-22 02:55:40,11.176
2024-03-22 02:55:46,11.176
2024-03-22 02:55:52,11.176
2024-03-22 02:55:58,11.185
2024-03-22 02:56:04,11.159
2024-03-22 02:56:10,11.091
2024-03-22 02:56:16,11.142
2024-03-22 02:56:22,11.151
2024-03-22 02:56:28,11.159
2024-03-22 02:56:34,11.151
2024-03-22 02:56:40,11.151
2024-03-22 02:56:46,11.159
2024-03-22 02:56:52,11.142
2024-03-22 02:56:58,11.142
2024-03-22 02:57:04,11.142
2024-03-22 02:57:10,11.134
2024-03-22 02:57:16,11.125
2024-03-22 02:57:22,11.134
2024-03-22 02:57:28,11.117
2024-03-22 02:57:34,11.151
2024-03-22 02:57:40,11.039
2024-03-22 02:57:46,11.142
2024-03-22 02:57:52,11.168
2024-03-22 02:57:58,11.125
2024-03-22 02:58:04,11.082
2024-03-22 02:58:10,11.125
2024-03-22 02:58:16,11.117
2024-03-22 02:58:22,11.117
2024-03-22 02:58:28,11.099
2024-03-22 02:58:34,11.142
2024-03-22 02:58:40,11.142
2024-03-22 02:58:46,11.151
2024-03-22 02:58:52,11.125
2024-03-22 02:58:58,11.142
2024-03-22 02:59:04,11.151
2024-03-22 02:59:10,10.945
2024-03-22 02:59:16,11.134
2024-03-22 02:59:22,11.142
2024-03-22 02:59:28,11.125
2024-03-22 02:59:34,11.125
2024-03-22 02:59:40,11.125
2024-03-22 02:59:46,11.125
2024-03-22 02:59:52,11.125
2024-03-22 02:59:58,11.125
2024-03-22 03:00:04,11.125
2024-03-22 03:00:10,11.117
