"Date Time        ","Adjusted vBatt"
2024-04-02 07:18:40,12.53
2024-04-02 07:18:46,12.521
2024-04-02 07:18:52,12.436
2024-04-02 07:18:58,12.393
2024-04-02 07:19:04,12.41
2024-04-02 07:19:10,12.376
2024-04-02 07:19:16,12.41
2024-04-02 07:19:22,12.402
2024-04-02 07:19:28,12.376
2024-04-02 07:19:34,12.384
2024-04-02 07:19:40,12.402
2024-04-02 07:19:46,12.436
2024-04-02 07:19:52,12.376
2024-04-02 07:19:58,12.359
2024-04-02 07:20:04,12.35
2024-04-02 07:20:10,12.35
2024-04-02 07:20:16,12.324
2024-04-02 07:20:22,12.324
2024-04-02 07:20:28,12.342
2024-04-02 07:20:34,12.307
2024-04-02 07:20:40,12.342
2024-04-02 07:20:46,12.324
2024-04-02 07:20:52,12.316
2024-04-02 07:20:58,12.324
2024-04-02 07:21:04,12.316
2024-04-02 07:21:10,12.342
2024-04-02 07:21:16,12.324
2024-04-02 07:21:22,12.316
2024-04-02 07:21:28,12.316
2024-04-02 07:21:34,12.342
2024-04-02 07:21:40,12.307
2024-04-02 07:21:46,12.29
2024-04-02 07:21:52,12.307
2024-04-02 07:21:58,12.29
2024-04-02 07:22:04,12.29
2024-04-02 07:22:10,12.324
2024-04-02 07:22:16,12.316
2024-04-02 07:22:22,12.316
2024-04-02 07:22:28,12.307
2024-04-02 07:22:34,12.333
2024-04-02 07:22:40,12.342
2024-04-02 07:22:46,12.316
2024-04-02 07:22:52,12.333
2024-04-02 07:22:58,12.324
2024-04-02 07:23:04,12.333
2024-04-02 07:23:10,12.333
2024-04-02 07:23:16,12.273
2024-04-02 07:23:22,12.307
2024-04-02 07:23:28,12.299
2024-04-02 07:23:34,12.299
2024-04-02 07:23:40,12.299
2024-04-02 07:23:46,12.316
2024-04-02 07:23:52,12.264
2024-04-02 07:23:58,12.316
2024-04-02 07:24:04,12.282
2024-04-02 07:24:10,12.273
2024-04-02 07:24:16,12.299
2024-04-02 07:24:22,12.299
2024-04-02 07:24:28,12.29
2024-04-02 07:24:34,12.273
2024-04-02 07:24:40,12.29
2024-04-02 07:24:46,12.264
2024-04-02 07:24:52,12.282
2024-04-02 07:24:58,12.256
2024-04-02 07:25:04,12.264
